Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,User ID
165079,AA Batteries (4-pack),1,3.84,03/24/19 19:17,"953 Johnson St, Boston, MA 02215",14152.0
289147,Macbook Pro Laptop,1,1700,11/29/19 07:25,"826 13th St, Los Angeles, CA 90001",49793.0
293940,AA Batteries (4-pack),1,3.84,11/28/19 12:00,"543 Main St, San Francisco, CA 94016",4748.0
288851,Lightning Charging Cable,1,14.95,11/02/19 18:32,"601 Maple St, Los Angeles, CA 90001",73924.0
239927,Apple Airpods Headphones,1,150,08/09/19 20:35,"88 Maple St, Los Angeles, CA 90001",23344.0
292636,Lightning Charging Cable,1,14.95,11/15/19 16:38,"405 Washington St, Seattle, WA 98101",35199.0
275843,Bose SoundSport Headphones,1,99.99,10/02/19 16:10,"96 11th St, San Francisco, CA 94016",45431.0
270003,AAA Batteries (4-pack),1,2.99,10/16/19 17:25,"260 Park St, Los Angeles, CA 90001",50287.0
257440,Bose SoundSport Headphones,1,99.99,09/15/19 22:03,"562 Cherry St, Atlanta, GA 30301",5376.0
227579,Macbook Pro Laptop,1,1700,07/01/19 20:38,"18 Cherry St, San Francisco, CA 94016",36571.0
180708,AA Batteries (4-pack),1,3.84,04/01/19 18:17,"668 11th St, New York City, NY 10001",67736.0
197925,Apple Airpods Headphones,1,150,05/30/19 23:47,"57 Walnut St, New York City, NY 10001",40060.0
242979,Apple Airpods Headphones,1,150,08/13/19 16:45,"172 Johnson St, Los Angeles, CA 90001",14933.0
270398,Bose SoundSport Headphones,1,99.99,10/20/19 19:57,"474 Madison St, San Francisco, CA 94016",21149.0
250735,Apple Airpods Headphones,1,150,09/24/19 15:19,"929 12th St, San Francisco, CA 94016",32735.0
170385,Wired Headphones,1,11.99,03/24/19 10:18,"567 Maple St, Los Angeles, CA 90001",24234.0
281643,AA Batteries (4-pack),1,3.84,11/10/19 21:18,"933 Lincoln St, San Francisco, CA 94016",78739.0
148534,27in 4K Gaming Monitor,1,389.99,01/16/19 10:19,"966 10th St, New York City, NY 10001",55685.0
234861,Lightning Charging Cable,1,14.95,07/15/19 14:50,"65 10th St, Los Angeles, CA 90001",34527.0
185203,USB-C Charging Cable,1,11.95,04/21/19 17:02,"924 Elm St, San Francisco, CA 94016",79839.0
218585,AA Batteries (4-pack),2,3.84,06/11/19 15:37,"273 Chestnut St, Los Angeles, CA 90001",18061.0
210857,AA Batteries (4-pack),1,3.84,06/15/19 10:59,"166 Adams St, San Francisco, CA 94016",34709.0
156185,AA Batteries (4-pack),1,3.84,02/17/19 23:28,"974 Hill St, Boston, MA 02215",38925.0
167665,iPhone,1,700,03/10/19 23:00,"967 4th St, San Francisco, CA 94016",7487.0
236943,AAA Batteries (4-pack),2,2.99,08/04/19 16:04,"387 Lincoln St, Seattle, WA 98101",45505.0
